0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.875,0.6666666666666667,0.888888888888889,0.75,0.7777777777777777,0.6666666666666666,0.888888888888889,1.0,1.0,0.888888888888889,1.0,0.5555555555555556,1.0,0.6666666666666667,0.8571428571428571,1.0,1.0,1.0,0.875,1.0,1.0,0.7777777777777777,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.857142857142857,1.0,1.0,0.5555555555555556,1.0,1.0,0.8888888888888892,1.0,1.0,0.888888888888889,1.0,1.0,1.0,1.0,0.857142857142857,1.0,1.0,0.875,1.0,0.75,0.9999999999999998,1.0,1.0,0.5555555555555556,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7777777777777779,0.7777777777777779,0.8333333333333333,1.0,0.6666666666666667,0.5555555555555556,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.6666666666666666,0.8333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,0.8333333333333333
0.875,0.6000000000000001,0.888888888888889,0.75,0.888888888888889,0.6666666666666666,0.888888888888889,1.0,1.0,0.8333333333333333,1.0,0.5555555555555556,1.0,0.7500000000000001,0.8571428571428571,1.0,1.0,1.0,0.875,1.0,1.0,0.6666666666666666,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.5555555555555556,1.0,1.0,0.9,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.75,0.875,1.0,0.75,0.9999999999999998,0.8333333333333333,1.0,0.6666666666666666,0.7499999999999999,1.0,0.7272727272727273,0.5,1.0,1.0,0.888888888888889,0.7777777777777779,0.8333333333333333,1.0,0.7499999999999999,0.75,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.7142857142857142,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9999999999999998,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,0.7142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9999999999999998,0.75,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.7142857142857142,0.857142857142857,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.8571428571428571,0.8333333333333333,1.0,0.8571428571428571,0.857142857142857,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8,1.0,1.0,0.8,1.0,1.0,0.8,1.0,0.8,1.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.75,1.0,0.8,0.75,1.0,1.0,1.0,0.8,0.8,0.75,1.0,0.8,1.0,0.75,1.0,1.0,0.8,0.75,0.8,0.8,0.8,1.0,0.75,1.0,0.8,0.75,1.0
1.0,0.857142857142857,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.9999999999999998,0.7142857142857142,1.0,0.857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.857142857142857,0.8571428571428571,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,0.7142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.8571428571428571,1.0,0.75,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.7142857142857142,0.857142857142857,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.8571428571428571,0.8333333333333333,1.0,0.857142857142857,0.857142857142857,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.6000000000000002,0.6666666666666666,0.6000000000000002,0.8,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.75,1.0,1.0,1.0,0.8
0.857142857142857,0.8571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.8571428571428571,0.8571428571428571,1.0,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857142,1.0,0.2857142857142857,0.8571428571428571,1.0,1.0,0.857142857142857,0.8571428571428571,1.0,0.857142857142857,0.7142857142857142,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.857142857142857,1.0,0.8571428571428571,0.857142857142857,1.0,1.0,0.857142857142857,0.857142857142857,1.0,0.857142857142857,0.857142857142857,1.0,0.857142857142857,1.0,1.0,0.857142857142857,0.75,0.8571428571428571,1.0,0.75,0.857142857142857,0.8333333333333333,1.0,0.42857142857142855,0.7142857142857142,1.0,0.857142857142857,0.6666666666666666,1.0,1.0,0.857142857142857,0.857142857142857,0.8333333333333333,1.0,0.7142857142857142,0.42857142857142855,0.8333333333333333,0.857142857142857,0.75,1.0,1.0,1.0,0.8333333333333333
1.0,0.857142857142857,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.7142857142857142,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.857142857142857,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,0.7142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.8571428571428571,1.0,0.75,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.7142857142857142,0.8571428571428571,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.857142857142857,0.8333333333333333,1.0,0.857142857142857,0.857142857142857,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.25,0.75,0.5,0.75,0.75,1.0,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,1.0,0.75,0.5,1.0,0.5,0.6666666666666666,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.75,0.75,0.25,0.75
0.875,0.75,0.875,0.75,0.875,0.75,0.875,1.0,1.0,0.875,1.0,0.625,1.0,0.5,0.8571428571428571,1.0,1.0,0.9999999999999998,0.875,1.0,0.857142857142857,0.75,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.857142857142857,1.0,0.8571428571428571,0.625,1.0,1.0,0.875,0.875,1.0,0.875,1.0,1.0,1.0,1.0,0.857142857142857,1.0,1.0,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.625,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,0.875,0.75,0.8333333333333333,1.0,0.75,0.625,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,0.8,0.6666666666666666,0.6000000000000002,0.8,1.0,1.0,0.6000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.75,1.0,1.0,1.0,0.8
0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.5,0.5,1.0,0.75,0.5,0.5,0.5,1.0,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,1.0,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.5,1.0,0.75,0.75,1.0,0.5,0.5,0.25,0.75,0.5,0.75,0.25,0.75,0.75,0.75,0.25,0.5,0.25,0.5,0.75,0.5,0.75,0.5,0.25,0.75
1.0,0.8571428571428571,1.0,0.857142857142857,1.0,0.8571428571428571,0.9999999999999998,1.0,1.0,1.0,1.0,0.7142857142857142,1.0,0.9999999999999998,0.857142857142857,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,0.857142857142857,0.7142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857142857142857,1.0,1.0,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.7142857142857142,0.9999999999999998,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.857142857142857,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8,0.8,1.0,0.8333333333333333,0.6666666666666666,0.8,0.3333333333333333,0.8333333333333333,0.8333333333333333,0.8,0.8333333333333333,0.8333333333333333,0.8,1.0,0.8333333333333333,0.8333333333333333,0.8,0.6666666666666666,0.8,0.8,0.8,0.8333333333333333,0.8333333333333333,1.0,0.6666666666666666,0.8333333333333333,0.8333333333333333,1.0,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.6000000000000002,0.8333333333333333,0.8333333333333333,0.5,0.8333333333333333,0.8,0.75,0.8333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.8333333333333333,0.6666666666666666,0.8333333333333333,0.75,0.8333333333333333,0.8333333333333333,0.6666666666666666,0.75,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.75,0.8333333333333333,0.8,0.75,0.8333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0
0.625,0.4,0.5555555555555556,0.5,0.6666666666666667,0.4444444444444445,0.5555555555555556,0.6000000000000002,0.6000000000000002,0.5,0.7142857142857142,0.3333333333333333,0.6000000000000002,0.857142857142857,0.5714285714285714,0.5,0.6000000000000002,0.7142857142857142,0.625,0.6000000000000002,0.42857142857142855,0.6153846153846154,0.8333333333333333,0.6000000000000002,0.5,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6000000000000001,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.7142857142857142,0.8,0.7142857142857142,0.6000000000000002,0.42857142857142855,0.7142857142857142,0.5,0.625,0.6000000000000002,0.5,0.7142857142857142,0.3333333333333333,0.6666666666666666,1.0,0.8461538461538463,0.75,0.5454545454545455,0.6666666666666666,0.5,0.75,0.6666666666666666,0.4444444444444445,0.5,0.75,0.7857142857142856,0.9285714285714286,0.6666666666666666,0.7142857142857142,0.75,0.8333333333333333,0.6000000000000002,0.75,0.6666666666666666
0.75,0.5,0.6666666666666667,0.625,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.8,0.8,0.6153846153846154,0.8571428571428571,0.4444444444444445,0.8,1.0,0.7142857142857142,0.8333333333333333,0.8,0.8571428571428571,0.75,0.8,0.7142857142857142,0.6923076923076923,1.0,0.8,0.6666666666666666,0.8,0.8,0.8,0.7142857142857142,0.8333333333333333,0.7142857142857142,0.4444444444444445,1.0,0.8333333333333333,0.7000000000000001,0.6666666666666666,0.8333333333333333,0.75,0.857142857142857,0.8,0.857142857142857,0.8,0.7142857142857142,0.8571428571428571,0.5,0.75,0.8,0.5,1.0,0.6666666666666666,0.6666666666666666,0.8461538461538463,1.0,1.0,0.7272727272727273,0.6666666666666666,0.8333333333333333,1.0,0.7777777777777777,0.7777777777777777,0.6666666666666666,1.0,1.0,0.8461538461538463,0.8333333333333333,0.8571428571428571,0.75,1.0,0.8,1.0,0.8333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.75,0.3333333333333333,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75
0.75,0.5,0.7777777777777778,0.75,0.7777777777777778,0.6666666666666667,0.7777777777777777,1.0,1.0,0.6363636363636364,0.8571428571428571,0.5555555555555556,1.0,0.7272727272727273,0.8571428571428571,1.0,1.0,1.0,0.875,1.0,0.7142857142857142,0.7272727272727273,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.7142857142857142,1.0,0.8571428571428571,0.5555555555555556,1.0,1.0,0.8,0.6666666666666666,1.0,0.7272727272727273,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.5454545454545454,0.7272727272727273,1.0,1.0,0.5,0.8333333333333333,1.0,0.7777777777777777,0.7777777777777777,0.8333333333333333,1.0,0.8181818181818181,0.8181818181818182,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.6000000000000002,0.6000000000000002,0.8333333333333333,0.8333333333333333,0.6666666666666666,0.6000000000000002,0.5,0.8333333333333333,0.6666666666666666,0.6000000000000002,0.6666666666666666,0.6666666666666666,0.6000000000000002,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.6000000000000002,0.5,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.5,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.8,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666,0.25,0.6666666666666666,0.6000000000000002,0.5,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.5,0.6666666666666666,0.75,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333333,0.6000000000000002,0.75,0.6666666666666666
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.5,0.8333333333333333,1.0,0.8333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,0.8333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,0.8333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.75,0.3333333333333333,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75
0.875,0.6666666666666666,0.7777777777777778,0.75,0.888888888888889,0.6666666666666666,0.7777777777777778,1.0,1.0,0.888888888888889,1.0,0.5555555555555556,1.0,0.888888888888889,0.8571428571428571,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,0.7777777777777778,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,0.5555555555555556,1.0,1.0,0.888888888888889,0.7777777777777778,1.0,0.888888888888889,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.75,0.875,1.0,0.75,1.0,0.8333333333333333,1.0,0.6666666666666667,0.7777777777777777,1.0,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.0,0.7777777777777777,0.888888888888889,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
0.75,0.6666666666666667,0.888888888888889,0.75,0.6666666666666666,0.6666666666666667,0.7777777777777777,1.0,1.0,0.7777777777777777,0.8571428571428571,0.5555555555555556,1.0,0.8888888888888892,0.857142857142857,1.0,1.0,0.857142857142857,0.75,1.0,1.0,0.888888888888889,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.5555555555555556,1.0,1.0,0.888888888888889,0.7777777777777779,1.0,0.7777777777777777,0.8571428571428571,1.0,0.857142857142857,1.0,0.8571428571428571,0.8571428571428571,0.5,0.75,1.0,0.75,0.8571428571428571,0.8333333333333333,1.0,0.4444444444444445,0.7777777777777779,1.0,0.7777777777777777,0.5,1.0,1.0,0.6666666666666666,1.0,0.8333333333333333,1.0,0.7777777777777779,0.888888888888889,0.8333333333333333,0.8571428571428571,0.75,1.0,1.0,1.0,0.8333333333333333
0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.5,0.8333333333333333,1.0,0.75,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,0.6666666666666666
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.75,0.3333333333333333,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75
0.75,0.5,0.6666666666666666,0.625,0.7777777777777777,0.5555555555555556,0.6666666666666667,0.8,0.8,0.5333333333333334,0.8571428571428571,0.4444444444444445,0.8,0.9333333333333335,0.7142857142857142,0.8333333333333333,0.8,0.8571428571428571,0.75,0.8,0.7142857142857142,0.8461538461538463,1.0,0.8,0.6666666666666666,0.8,0.8,0.8,0.7142857142857142,0.8333333333333333,0.7142857142857142,0.4444444444444445,0.8333333333333333,0.8333333333333333,0.8,0.6666666666666667,0.8333333333333333,0.75,0.857142857142857,0.8,0.857142857142857,0.8,0.7142857142857142,0.8571428571428571,0.5,0.75,0.8,0.5,1.0,0.6666666666666666,0.6666666666666666,0.7857142857142856,1.0,1.0,0.8181818181818182,0.6666666666666666,0.8333333333333333,1.0,0.7777777777777777,0.7777777777777777,0.6666666666666666,1.0,1.0,0.8666666666666667,0.8333333333333333,0.8571428571428571,0.75,1.0,0.8,1.0,0.8333333333333333
0.625,0.4,0.7777777777777778,0.625,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.6000000000000002,0.8,0.35294117647058826,0.7142857142857142,0.3333333333333333,0.8,0.8947368421052632,0.5714285714285714,0.8333333333333333,0.8,0.857142857142857,0.625,0.8,0.5714285714285714,0.9230769230769231,1.0,0.8,0.5,0.8,0.8,0.8,0.5714285714285714,0.8333333333333333,0.7142857142857142,0.4444444444444445,0.6666666666666666,0.8333333333333333,0.8,0.5555555555555556,0.8333333333333333,0.75,0.857142857142857,0.8,0.857142857142857,0.8,0.42857142857142855,0.857142857142857,0.5,0.625,0.8,0.25,1.0,0.3333333333333333,0.6666666666666666,0.9285714285714286,0.8461538461538463,1.0,0.8181818181818182,0.5,0.6666666666666666,1.0,0.888888888888889,0.888888888888889,0.6666666666666666,1.0,0.8666666666666667,1.0,0.8333333333333333,0.7142857142857142,0.75,1.0,0.8,1.0,0.8333333333333333
0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.5,0.8333333333333333,1.0,0.5,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,1.0,0.8333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.75,0.8333333333333333,1.0,1.0,0.6666666666666666
1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.7142857142857142,1.0,0.7142857142857142,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.857142857142857,0.857142857142857,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,0.7142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.7142857142857142,0.8571428571428571,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.857142857142857,0.8333333333333333,1.0,0.8571428571428571,0.7142857142857142,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.3333333333333333,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,0.75,1.0,1.0,1.0,0.8333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,0.8,0.6666666666666666,0.6000000000000002,0.8,1.0,1.0,0.6000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.75,1.0,1.0,1.0,0.8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,0.75,0.3333333333333333,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75
